Mes/Ano;Ferrovia;TU;TKU
10/2009;MRS;10749501;4977229471
10/2009;RMN;879538;1212428199
10/2009;RMO;299837;161476240
10/2009;RMP;573214;359503664
10/2009;RMS;1893322;1256823544
11/2009;EFC;8466607;7351470473
11/2009;EFPO;21049;15479514
11/2009;EFVM;8853089;4890977640
11/2009;FCA;1355954;992828371
11/2009;FNSTN;75361;36858691
11/2009;FTC;214952;15847838
11/2009;FTL;143182;73176164
11/2009;MRS;10584039;4948063953
11/2009;RMN;792096;1088091048
11/2009;RMO;313520;145049240
11/2009;RMP;419696;253659651
11/2009;RMS;1767516;1167185635
12/2009;EFC;8805119;7643338396
12/2009;EFPO;37609;26849950
12/2009;EFVM;10270859;5674423509
12/2009;FCA;1313654;914695951
12/2009;FNSTN;19136;4803136
12/2009;FTC;208478;15320077
12/2009;FTL;140808;68292359
12/2009;MRS;10344675;4762012830
12/2009;RMN;580098;796789965
12/2009;RMO;363966;148028615
12/2009;RMP;467215;288430992
12/2009;RMS;1729143;1150954628
01/2010;EFC;7906938;6818804328
01/2010;EFPO;37718;28981649
01/2010;EFVM;10137647;5668476333
01/2010;FCA;1422974;1002744199
01/2010;FNSTN;0;0
01/2010;FTC;198758;14559280
01/2010;FTL;136096;60665874
01/2010;MRS;8945328;4102161167
01/2010;RMN;595228;826419493
01/2010;RMO;336864;134813323
01/2010;RMP;429049;266266579
01/2010;RMS;1700748;1155147052
02/2010;EFC;7733954;6713556307
02/2010;EFPO;67284;36267879
02/2010;EFVM;9238833;5129044649
02/2010;FCA;1411643;1051854713
02/2010;FNSTN;22117;15990591
02/2010;FTC;190401;14369484
02/2010;FTL;126380;57319017
02/2010;MRS;9099446;4245656745
02/2010;RMN;844995;1180177142
02/2010;RMO;302301;133084870
02/2010;RMP;311751;200535426
02/2010;RMS;1737674;1161668426
03/2010;EFC;8185398;7055510931
03/2010;EFPO;48247;30495767
03/2010;EFVM;9150780;4794675265
03/2010;FCA;1736284;1366713297
03/2010;FNSTN;235133;170307761
03/2010;FTC;223936;16701115
03/2010;FTL;125183;63633993
03/2010;MRS;9773183;4526371629
03/2010;RMN;1001503;1403554766
03/2010;RMO;332940;166165636
03/2010;RMP;346458;203047785
03/2010;RMS;2134943;1419677094
04/2010;EFC;7034484;6042008016
04/2010;EFPO;26862;19662504
04/2010;EFVM;10434222;5821799654
04/2010;FCA;1791918;1333240538
04/2010;FNSTN;288085;215057177
04/2010;FTC;192958;14550247
04/2010;FTL;116665;56902324
04/2010;MRS;9999387;4714811687
04/2010;RMN;868391;1214523382
04/2010;RMO;357009;145194545
04/2010;RMP;564190;361211952
04/2010;RMS;2183487;1464434628
05/2010;EFC;7900127;6809261704
05/2010;EFPO;33495;22806362
05/2010;EFVM;11291454;6259197405
05/2010;FCA;2022362;1544754253
05/2010;FNSTN;251203;194034773
05/2010;FTC;204265;15584367
05/2010;FTL;135496;62137039
05/2010;MRS;10696602;5052028943
05/2010;RMN;775671;1076523587
05/2010;RMO;441648;156407911
05/2010;RMP;681486;384112246
05/2010;RMS;2378501;1574685141
06/2010;EFC;8376595;7251351885
06/2010;EFPO;62787;33257268
06/2010;EFVM;11087003;6221482189
06/2010;FCA;1866037;1397134609
06/2010;FNSTN;236240;184640154
06/2010;FTC;195831;14921855
06/2010;FTL;140535;60018525
06/2010;MRS;10517481;4939348578
06/2010;RMN;723202;1004030006
06/2010;RMO;416173;132513569
06/2010;RMP;688517;382110094
06/2010;RMS;2302076;1506080726
07/2010;EFC;8934071;7819289554
07/2010;EFPO;48887;21334678
07/2010;EFVM;12058011;6807888508
07/2010;FCA;2046865;1488587101
07/2010;FNSTN;261276;202843590
07/2010;FTC;210642;16088737
07/2010;FTL;129106;65554154
07/2010;MRS;10963774;5160321517
07/2010;RMN;907298;1265736115
07/2010;RMO;456762;164577359
07/2010;RMP;689144;424177500
07/2010;RMS;2454421;1667904481
08/2010;EFC;9410853;8234290639
08/2010;EFPO;48785;25010035
08/2010;EFVM;11971941;6717067260
08/2010;FCA;1925299;1359712985
08/2010;FNSTN;240229;191717909
08/2010;FTC;200079;15249671
08/2010;FTL;133072;67973939
08/2010;MRS;10519910;4897235149
08/2010;RMN;947713;1318983075
08/2010;RMO;414060;147966622
08/2010;RMP;658885;412081628
08/2010;RMS;2375214;1648380628
09/2010;EFC;9779748;8529389270
09/2010;EFPO;21213;16032325
09/2010;EFVM;11690784;6561161316
09/2010;FCA;1853262;1291827710
09/2010;FNSTN;183211;137095815
09/2010;FTC;273763;14921275
09/2010;FTL;113105;57305077
09/2010;MRS;11022994;5198424188
09/2010;RMN;949655;1320954283
09/2010;RMO;410195;148020497
09/2010;RMP;598957;349886746
09/2010;RMS;2336503;1575266901
10/2010;EFC;9792435;8556578350
10/2010;EFPO;22944;12095120
10/2010;EFVM;12244740;6898222735
10/2010;FCA;1797855;1244272763
10/2010;FNSTN;160558;114765819
10/2010;FTC;261632;15375970
10/2010;FTL;123685;58385031
10/2010;MRS;11522352;5416948434
10/2010;RMN;951821;1320382461
10/2010;RMO;403521;147388476
10/2010;RMP;653828;380325211
10/2010;RMS;2315550;1557922124
11/2010;EFC;9478953;8231897958
11/2010;EFPO;25713;12475899
11/2010;EFVM;11133974;6268934165
11/2010;FCA;1750557;1148372461
11/2010;FNSTN;99688;75946647
11/2010;FTC;240924;15596792
11/2010;FTL;127967;59628986
11/2010;MRS;10251871;4753769546
11/2010;RMN;1017792;1417397221
11/2010;RMO;331342;167910349
11/2010;RMP;575425;332437055
11/2010;RMS;2190633;1459817204
12/2010;EFC;10415422;8989712122
12/2010;EFPO;27558;14895866
12/2010;EFVM;11316059;6332313642
12/2010;FCA;1617319;1090415367
12/2010;FNSTN;34512;21660592
12/2010;FTC;243662;17079967
12/2010;FTL;121738;58783756
12/2010;MRS;9717512;4563590194
12/2010;RMN;915132;1269624385
12/2010;RMO;227045;138728759
12/2010;RMP;521017;307325676
12/2010;RMS;1865389;1282594508
01/2011;EFC;9656559;8374868864
01/2011;EFPO;50256;35751508
01/2011;EFVM;10294318;5709576136
01/2011;FCA;1258672;893021993
01/2011;FNSTN;27726;11694856
01/2011;FTC;243096;15610630
01/2011;FTL;111642;52582925
01/2011;MRS;9679973;4486621988
01/2011;RMN;605856;839841575
01/2011;RMO;227056;119041544
01/2011;RMP;551466;344544595
01/2011;RMS;1601965;1128768816
02/2011;EFC;7074327;6132383044
02/2011;EFPO;44517;32648112
02/2011;EFVM;9763901;5416773803
02/2011;FCA;1420342;1056233477
02/2011;FNSTN;83437;51847286
02/2011;FTC;234908;14081803
02/2011;FTL;106215;52229356
02/2011;MRS;10085934;4817430126
02/2011;RMN;694829;960320378
02/2011;RMO;202699;130605967
02/2011;RMP;412380;259483755
02/2011;RMS;1735363;1164399378
03/2011;EFC;8058830;6986511356
03/2011;EFPO;41408;19683881
03/2011;EFVM;10619110;5908293785
03/2011;FCA;1484176;1150690259
03/2011;FNSTN;276784;205293424
03/2011;FTC;263223;17592376
03/2011;FTL;98733;56029645
03/2011;MRS;10304599;4809182042
03/2011;RMN;1042154;1450601100
03/2011;RMO;178692;121811988
03/2011;RMP;364650;239786855
03/2011;RMS;2010567;1387879488
04/2011;EFC;9096433;7906403226
04/2011;EFPO;30730;15148190
04/2011;EFVM;10590467;5900513203
04/2011;FCA;1549365;1218608100
04/2011;FNSTN;291383;212349438
04/2011;FTC;169980;12856481
04/2011;FTL;97474;54282542
04/2011;MRS;10264255;4822431254
04/2011;RMN;953732;1323033769
04/2011;RMO;389686;128091163
04/2011;RMP;424185;260800413
04/2011;RMS;2266568;1480792098
05/2011;EFC;9181186;8016781859
05/2011;EFPO;40167;17601764
05/2011;EFVM;11303606;6306805589
05/2011;FCA;1722522;1295524457
05/2011;FNSTN;285617;217842411
05/2011;FTC;214558;15995418
05/2011;FTL;115091;53336507
05/2011;MRS;11146934;5259966196
05/2011;RMN;951432;1316612812
05/2011;RMO;418483;146653011
05/2011;RMP;689448;437497220
05/2011;RMS;2218242;1487467579
06/2011;EFC;8916917;7789534300
06/2011;EFPO;41128;16482084
06/2011;EFVM;11455857;6402165866
06/2011;FCA;1716254;1220591750
06/2011;FNSTN;307601;228169541
06/2011;FTC;198632;14655772
06/2011;FTL;129882;57672866
06/2011;MRS;10638589;5045292347
06/2011;RMN;867932;1201090985
06/2011;RMO;462988;167595045
06/2011;RMP;921641;570742930
06/2011;RMS;2422699;1670579358
07/2011;EFC;10531504;9195208615
07/2011;EFPO;31157;11248119
07/2011;EFVM;11496335;6511453911
07/2011;FCA;1479833;1044199704
07/2011;FNSTN;264094;195331136
07/2011;FTC;200329;14773928
07/2011;FTL;135092;63577110
07/2011;MRS;11850398;5647606928
07/2011;RMN;1160050;1607987493
07/2011;RMO;452085;142735488
07/2011;RMP;748857;462097770
07/2011;RMS;2402476;1657899498
08/2011;EFC;10708199;9317167220
08/2011;EFPO;10599;3684985
08/2011;EFVM;12151013;6827854657
08/2011;FCA;1427303;1218362494
08/2011;FNSTN;287017;210143999
08/2011;FTC;233459;17312610
08/2011;FTL;153929;69543479
08/2011;MRS;11647203;5545867994
08/2011;RMN;1244598;1719985490
08/2011;RMO;458111;148887620
08/2011;RMP;743173;451240649
08/2011;RMS;2518165;1731381195
09/2011;EFC;9409258;8121343873
09/2011;EFPO;14107;3886365
09/2011;EFVM;11997389;6709945549
09/2011;FCA;1870314;1388283499
09/2011;FNSTN;309743;243115789
09/2011;FTC;184965;13364555
09/2011;FTL;136186;64098852
09/2011;MRS;11578576;5494310424
09/2011;RMN;1022966;1411749676
09/2011;RMO;475048;161232555
09/2011;RMP;699627;441162494
09/2011;RMS;2809841;1773257809
10/2011;EFC;10333965;8957226822
10/2011;EFPO;21064;7259214
10/2011;EFVM;12177496;6930282669
10/2011;FCA;1813778;1255380595
10/2011;FNSTN;253205;185035699
